"1792 Distillery","http://www.1792bourbon.com",true,in
"211 Clover Lane","http://211clover.com",true,in
"Actor’s Theatre","https://actorstheatre.org",false,in
"Aesthetics In Jewelry","http://www.aestheticsinjewelry.com",false,in
"Anoosh Bistro","http://anooshbistro.com",false,in
"Belle of Louisville","http://belleoflouisville.org",true,in
"Blue Grass Motorsport","https://porschelouisville.com",true,in
"Blue Room Productions"," ",true,in
"Bourbon Manor B&B","https://www.bourbonmanor.com",false,in
"Bristol Bar & Grille","http://www.bristolbarandgrille.com",false,in
"Broadway Across America","http://www.broadwayacrossamerica.com",false,in
"Brown Hotel","http://www.brownhotel.com",false,in
"Butchertown Grocery","https://butchertowngrocery.com",true,in
"Calvin Mitchell Salon","https://www.calvinmitchellsalon.com",false,in
"Carmichael’s Books","http://www.carmichaelsbookstore.com",false,in
"Cellar Door Chocolates","http://www.cellardoorchocolates.com",true,in
"Chuck & Mike’s Tennis Shop","http://chuckandmikestennis.com/#home",false,in
"Churchill Downs","https://www.churchilldowns.com",false,in
"Claudia Sanders","http://claudiasanders.com",false,in
"Defabio’s Casapela Italian Restaurant","http://www.difabios.com",false,in
"Derby Eve Gala","http://derbyevegala.org",true,in
"Domine, David"," ",true,in
"Draped in Style","http://louisvillewindowtreatments.com",false,in
"Elements Massage","https://elementsmassage.com/louisville-east",true,in
"Farm to Fork","https://www.farmtoforkfood.com",true,in
"Foobots","https://foobot.io",true,in
"Frank Otte Nursery","https://www.louisvillegardencenter.net",false,in
"Frazier Museum","http://fraziermuseum.org",false,in
"French Lick/West Baden","http://www.frenchlick.com",true,in
"Hayswood Theatre","https://www.hayswoodtheatre.org",false,in
"Heine Brothers","https://heinebroscoffee.com",false,in
"Highland Cleaners","http://www.highlandcleaners.com",false,in
"Hyatt Regency","https://regency.hyatt.com/en/hyattregency.html",false,in
"In Bloom Again","http://www.inbloomagain.com/pages/inbloomagain.htm",true,in
"Jack Fry’s","https://www.jackfrys.com",false,in
"Louisville Ballet","https://www.louisvilleballet.org",false,in
"Louisville Business First","https://www.bizjournals.com/louisville?t=1506123736",true,in
"Louisville Stoneware","http://www.stonewareandco.com",false,in
"Louisville Tennis Club","http://www.louisvilletennis.com/louisville_tennis_club/louisville_tennis_club_home.html",false,in
"Makers Mark","https://www.makersmark.com/distillery",true,in
"Mia Bella Photography","http://www.miabphotography.com/index2.php#!/HOME",true,in
"Nanz & Kraft","http://www.nanzandkraft.com",true,in
"Old Bikes Belong","http://www.oldbikesbelong.com",true,in
"Regalo","http://www.regaloart.com",false,in
"Rodes for Her","http://www.rodes.com",false,in
"Roosters","http://www.roosterswings.com/preston/locations/",false,in
"Salon Delonjay","http://www.salondelonjay.com",false,in
"Salzman Spa","https://www.itbecomesyou.com",false,in
"Schaefer Advanced Dentistry","http://www.smilesoflouisville.com",false,in
"Seelbach Hilton","http://www.seelbachhilton.com",false,in
"Sharpen the Lead"," ",false,in
"Sophisticated Living","http://slmag.net",true,in
"Southern Wine & Spirits of KY","http://www.southernglazers.com",true,in
"Speed Museum","http://www.speedmuseum.org",true,in
"Texas Roadhouse","https://www.texasroadhouse.com/restaurant-locations/kentucky/louisville-outer-loop",false,in
"The Wulfe Bros","http://www.wulfebros.com",true,in
"To The Moon Handmades","https://tothemoonhandmades.com",false,in
"Today’s Woman","http://www.todayswomannow.com",true,in
"Todd Haines"," ",true,in
"UK Basketball","http://www.ukathletics.com",true,in
"UK Football","http://www.ukathletics.com",true,in
"University Club","http://www.uclublouisville.org/?doing_wp_cron=1506124264.8253500461578369140625",false,in
"UPS Flight Simulator"," ",true,in
"Vein Treatment & Aesthetic Center","http://www.veintreatments.com/home.htm",false,in
"Verbena","http://verbenacafe.com",false,in
"Vincenzo’s","https://www.vincenzositalianrestaurant.com",false,in
"Wallitches Nursery","http://www.wallitsch.net",true,in
"WHAS11","http://www.whas11.com",false,in
